filepath,filename,wnid,specific,coordinate,superordinate,domain
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_0.jpg,cat_n02123045_0.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_1.jpg,cat_n02123045_1.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_2.jpg,cat_n02123045_2.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_3.jpg,cat_n02123045_3.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_4.jpg,cat_n02123045_4.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_5.jpg,cat_n02123045_5.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_6.jpg,cat_n02123045_6.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_7.jpg,cat_n02123045_7.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_8.jpg,cat_n02123045_8.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_9.jpg,cat_n02123045_9.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_10.jpg,cat_n02123045_10.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_11.jpg,cat_n02123045_11.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_12.jpg,cat_n02123045_12.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_13.jpg,cat_n02123045_13.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_14.jpg,cat_n02123045_14.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_15.jpg,cat_n02123045_15.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_16.jpg,cat_n02123045_16.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_17.jpg,cat_n02123045_17.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_18.jpg,cat_n02123045_18.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_19.jpg,cat_n02123045_19.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_20.jpg,cat_n02123045_20.jpg,n02123045,Cat,Mammal,Animal,Living
/home/vmuser/Music/research_project/semantic-dementia-clip/data/raw/cat_n02123045_21.jpg,cat_n02123045_21.jpg,n02123045,Cat,Mammal,Animal,Living
